mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1016932,MnZnO3,5,Mn1 Zn1 O3,3.738769,3.738769,3.738769,90,90,90,cubic,Pm-3m,3.1400626,-6.31139953,-1.258271147,0.56117291,FALSE,5.348894748,0,FALSE,52.26198479,,
mp-754318,MnZnO3,10,Mn1 Zn1 O3,5.404488559,5.404493409,5.404207917,54.57082941,54.570153,54.56824638,trig,R-3,6,-6.866778206,-1.813649823,0.005794234,FALSE,5.734848868,1.7946,TRUE,97.48952848,,
mp-772528,MnZnO3,20,Mn1 Zn1 O3,5.188248,7.405507,5.077817,90,90,90,ortho,Pnma,11.9976204,-6.774189988,-1.721061605,0.098382452,FALSE,5.731355844,0.1204,FALSE,195.0978886,,
mp-1221539,MoBr3O,20,Mo1 Br3 O1,3.924338477,11.74337872,11.73906185,90,90.49903344,90,mono,P2_1/c,3.9999999,-5.292150721,-1.151260577,0,TRUE,4.31762576,0.9067,TRUE,540.974063,,
mp-23528,MoCl3O,20,Mo1 Cl3 O1,14.274816,6.222478,6.254159292,87.69728263,90,90,mono,P2_1/c,3.9732283,-5.674229075,-1.406384856,0.08272775,FALSE,2.612207384,2.4544,FALSE,555.0754104,,
mp-1221516,MoHO3,10,Mo1 H1 O3,7.749319792,7.749319792,3.956301446,88.74939257,88.74939257,29.65220609,mono,C2,2.0000064,-7.48731844,-1.670378527,0.09047667,FALSE,4.096455437,0.7623,FALSE,117.5107269,,
mp-23396,MoNCl3,20,Mo1 N1 Cl3,7.983925563,8.244399145,9.230664192,99.02765497,108.2184309,108.9142057,tri,P-1,0,-6.041199402,-1.095291835,0,TRUE,2.74745665,1.6768,FALSE,522.9331864,,
mp-1186106,MoPbO3,5,Mo1 Pb1 O3,4.107546,4.107546,4.107546,90,90,90,cubic,Pm-3m,2.0007218,-7.563607448,-1.683171409,0.117750639,FALSE,8.413561406,0,FALSE,69.3022456,,
mp-1247498,MoRuN3,20,Mo1 Ru1 N3,8.395553065,5.573767353,7.900263136,107.1216237,103.6919081,111.8508585,tri,P-1,0.0014919,-8.923859007,0.10311817,0.32548434,FALSE,5.258854001,0.0949,TRUE,301.9051825,,
mp-1247512,MoWN3,20,Mo1 W1 N3,5.956011925,7.789977055,7.376578087,104.0241377,106.3041832,105.4997391,tri,P-1,0.0007761,-9.924415655,-0.16069294,0.384697858,FALSE,7.188938802,0,FALSE,297.3243492,,
mp-1070665,NClO3,5,N1 Cl1 O3,4.713392144,4.713392256,4.713392144,85.04043775,85.04044814,85.04043775,trig,R3m,4.0004023,-4.115987836,0.890151648,1.411749977,FALSE,1.562078557,0,FALSE,103.6008398,,
mp-1180300,NClO3,5,N1 Cl1 O3,5.034395636,5.034395636,3.997316304,81.68647511,81.68647511,108.2034122,mono,Cm,0.000129,-5.43081604,-0.424676556,0.096921773,FALSE,1.735096106,2.0014,FALSE,93.27013631,,
mp-1180304,NClO3,5,N1 Cl1 O3,4.489662451,4.489662451,4.767638099,88.29474187,88.29474187,130.4654256,mono,Cm,1.88E-05,-4.816214372,0.189925112,0.711523441,FALSE,2.219037784,0,FALSE,72.92919996,,
